Train_ID,Train_Type,Arrival_Time_Min,Departure_Time_Min,Halt_Duration_Min,Platform_Assigned,Track_Number,Peak_Hour,Weather,Previous_Delay_Min,Delay_Minutes
T180,Freight,260,280,20,4,1,0,Clear,30,10
T181,Freight,629,662,33,2,1,0,Clear,29,9
T182,Passenger,512,530,18,4,1,1,Rain,46,39
T183,Passenger,155,170,15,4,3,0,Clear,49,23
T184,Express,1024,1031,7,5,1,1,Clear,32,19
T185,Passenger,1035,1054,19,4,1,1,Clear,58,44
T186,Express,426,432,6,4,2,1,Clear,44,31
T187,Passenger,745,761,16,2,1,0,Clear,7,2
T188,Passenger,310,326,16,2,3,0,Rain,49,31
T189,Freight,302,329,27,1,3,0,Fog,45,37
T190,Freight,1327,1351,24,1,2,0,Clear,1,0
T191,Passenger,574,592,18,1,1,1,Fog,12,37
T192,Freight,1404,1429,25,4,2,0,Clear,33,17
T193,Freight,1302,1340,38,5,3,0,Clear,53,22
T194,Passenger,827,845,18,1,1,0,Clear,34,12
T195,Express,866,876,10,2,2,0,Clear,2,1
T196,Passenger,628,647,19,1,1,0,Clear,36,21
T197,Passenger,943,959,16,2,3,0,Clear,20,12
T198,Express,398,403,5,4,3,0,Clear,3,1
T199,Passenger,786,797,11,5,1,0,Clear,26,10
T200,Passenger,1,11,10,5,2,0,Clear,10,5
T201,Passenger,1062,1078,16,1,2,1,Clear,55,33
T202,Freight,1195,1227,32,2,3,1,Fog,54,51
T203,Passenger,1243,1261,18,2,1,1,Rain,23,26
T204,Passenger,49,66,17,3,3,0,Rain,17,13
T205,Express,241,250,9,1,3,0,Fog,32,35
T206,Passenger,649,667,18,5,1,0,Clear,24,16
T207,Express,262,271,9,2,3,0,Clear,60,33
T208,Passenger,1125,1144,19,5,2,1,Clear,36,21
T209,Passenger,72,89,17,1,3,0,Clear,38,22
T210,Passenger,427,447,20,5,2,1,Clear,2,10
T211,Express,57,64,7,2,3,0,Clear,37,18
T212,Express,661,669,8,2,1,0,Clear,30,15
T213,Express,617,627,10,1,3,0,Rain,16,14
T214,Express,1271,1279,8,1,1,0,Rain,19,15
T215,Express,799,804,5,5,2,0,Clear,60,26
T216,Express,340,346,6,3,1,0,Clear,10,2
T217,Express,1430,1436,6,4,2,0,Clear,34,17
T218,Freight,489,520,31,1,2,1,Clear,44,28
T219,Passenger,133,145,12,4,2,0,Clear,20,11
T220,Express,265,270,5,2,1,0,Clear,32,13
T221,Passenger,832,847,15,5,3,0,Fog,5,20
T222,Passenger,1102,1115,13,5,1,1,Fog,19,27
T223,Express,42,52,10,2,3,0,Clear,50,24
T224,Express,689,698,9,1,3,0,Clear,34,21
T225,Express,189,199,10,3,3,0,Rain,59,30
T226,Express,1403,1411,8,5,2,0,Clear,36,19
T227,Passenger,767,779,12,3,2,0,Rain,36,26
T228,Passenger,660,679,19,2,3,0,Rain,12,11
T229,Express,1236,1245,9,2,1,1,Fog,35,36
T230,Passenger,182,196,14,2,2,0,Clear,51,21
T231,Passenger,553,567,14,2,1,1,Clear,16,23
T232,Passenger,28,38,10,2,2,0,Clear,59,26
T233,Passenger,714,730,16,2,3,0,Clear,48,24
T234,Express,1439,1440,8,1,3,0,Rain,12,8
T235,Passenger,407,419,12,1,1,0,Clear,39,20
T236,Freight,1234,1260,26,3,3,1,Clear,4,10
T237,Passenger,1375,1392,17,2,2,0,Clear,47,26
T238,Passenger,961,972,11,3,1,0,Clear,3,0
T239,Passenger,377,393,16,2,2,0,Rain,11,12
T240,Freight,1311,1332,21,3,2,0,Clear,39,16
T241,Express,487,494,7,4,2,1,Rain,21,25
T242,Freight,887,927,40,3,2,0,Rain,54,31
T243,Passenger,148,162,14,4,3,0,Clear,21,11
T244,Passenger,769,783,14,4,3,0,Fog,14,13
T245,Freight,460,490,30,5,1,1,Rain,2,21
T246,Passenger,135,154,19,2,1,0,Rain,2,6
T247,Express,1247,1253,6,2,3,1,Clear,20,25
T248,Express,1416,1424,8,4,2,0,Rain,57,41
T249,Express,1400,1408,8,3,3,0,Rain,5,8
T250,Passenger,535,550,15,3,2,1,Clear,20,17
T251,Passenger,404,423,19,4,1,0,Clear,16,8
T252,Passenger,335,354,19,4,2,0,Clear,29,17
T253,Passenger,1211,1223,12,1,3,1,Clear,21,25
T254,Passenger,926,939,13,3,1,0,Clear,54,25
T255,Passenger,1169,1182,13,1,3,1,Rain,46,43
T256,Passenger,1283,1296,13,3,3,0,Clear,13,8
T257,Passenger,601,615,14,1,1,0,Fog,2,26
T258,Passenger,562,576,14,3,2,1,Fog,25,38
T259,Freight,48,88,40,2,1,0,Rain,25,19
T260,Freight,984,1007,23,5,2,0,Clear,41,17
T261,Express,162,170,8,2,2,0,Clear,24,11
T262,Express,595,601,6,2,3,1,Clear,3,5
T263,Passenger,1093,1104,11,3,3,1,Fog,20,38
T264,Passenger,313,327,14,2,1,0,Rain,25,19
T265,Express,370,375,5,5,1,0,Clear,32,14
T266,Express,597,602,5,1,1,1,Clear,27,32
T267,Passenger,422,437,15,1,1,1,Rain,45,34
T268,Freight,1135,1156,21,2,2,1,Fog,50,50
T269,Express,1317,1325,8,3,2,0,Fog,50,35
T270,Passenger,883,898,15,5,3,0,Fog,27,36
T271,Passenger,1049,1059,10,2,1,1,Clear,2,10
T272,Passenger,678,691,13,1,3,0,Clear,18,4
T273,Freight,503,534,31,2,1,1,Clear,20,20
T274,Freight,1127,1164,37,2,2,1,Rain,6,20
T275,Freight,39,64,25,1,1,0,Clear,7,5
T276,Express,989,999,10,3,1,0,Rain,45,29
T277,Express,669,678,9,2,2,0,Fog,58,43
T278,Express,929,935,6,5,3,0,Clear,28,14
T279,Freight,645,683,38,4,1,0,Clear,46,22
T280,Freight,475,510,35,5,2,1,Clear,20,10
T281,Express,40,47,7,2,2,0,Rain,22,20
T282,Freight,930,950,20,4,1,0,Rain,1,11
T283,Express,1070,1080,10,1,1,1,Rain,22,24
T284,Express,532,539,7,1,1,1,Clear,51,34
T285,Freight,550,578,28,3,1,1,Fog,50,47
T286,Express,887,897,10,4,1,0,Clear,34,22
T287,Freight,595,631,36,1,2,1,Fog,22,40
T288,Passenger,283,296,13,5,3,0,Rain,8,10
T289,Passenger,786,799,13,5,1,0,Clear,16,7
T290,Express,1226,1235,9,3,1,1,Clear,29,26
T291,Express,67,75,8,2,1,0,Clear,21,14
T292,Express,267,274,7,3,2,0,Fog,20,24
T293,Express,1012,1021,9,1,1,0,Clear,34,13
T294,Express,819,828,9,5,3,0,Clear,56,27
T295,Express,347,355,8,4,2,0,Rain,2,10
T296,Freight,1110,1135,25,1,2,1,Clear,11,10
T297,Express,1403,1409,6,1,1,0,Clear,48,25
T298,Express,652,661,9,1,2,0,Clear,7,0
T299,Freight,864,890,26,5,1,0,Clear,41,18
T300,Freight,818,844,26,1,3,0,Clear,10,7
T301,Passenger,126,136,10,4,3,0,Clear,7,6
T302,Express,601,609,8,2,1,0,Clear,26,9
T303,Passenger,430,446,16,1,3,1,Fog,17,25
T304,Express,411,419,8,1,1,0,Clear,50,18
T305,Freight,958,986,28,2,2,0,Fog,12,24
T306,Passenger,628,639,11,5,2,0,Rain,29,19
T307,Passenger,267,279,12,3,1,0,Clear,14,6
T308,Freight,1317,1357,40,3,2,0,Clear,44,17
T309,Passenger,1053,1064,11,3,3,1,Fog,14,38
T310,Express,1141,1149,8,4,1,1,Clear,33,23
T311,Express,6,14,8,5,1,0,Clear,19,9
T312,Passenger,1006,1026,20,3,1,0,Clear,4,1
T313,Express,1227,1237,10,1,3,1,Rain,44,33
T314,Express,362,369,7,2,3,0,Clear,58,29
T315,Express,484,490,6,5,1,1,Fog,36,41
T316,Passenger,796,816,20,4,1,0,Clear,47,23
T317,Passenger,1188,1206,18,1,1,1,Clear,21,18
T318,Express,1439,1440,9,3,2,0,Clear,45,26
T319,Freight,358,381,23,3,1,0,Clear,23,12
T320,Express,508,513,5,3,2,1,Rain,56,39
T321,Express,519,527,8,5,1,1,Rain,53,49
T322,Passenger,1163,1178,15,5,2,1,Rain,27,28
T323,Passenger,557,576,19,4,2,1,Clear,18,22
T324,Freight,1022,1045,23,3,1,1,Clear,22,27
T325,Passenger,760,772,12,2,1,0,Fog,13,32
T326,Passenger,902,914,12,1,1,0,Clear,48,20
T327,Freight,146,171,25,3,3,0,Clear,46,22
T328,Passenger,682,694,12,2,2,0,Rain,20,16
T329,Express,695,705,10,1,2,0,Clear,18,11
T330,Express,646,653,7,1,1,0,Rain,14,17
T331,Freight,187,215,28,1,3,0,Rain,39,24
T332,Passenger,1381,1401,20,3,3,0,Rain,12,12
T333,Express,82,89,7,2,1,0,Clear,41,15
T334,Express,294,301,7,3,2,0,Clear,52,23
T335,Express,1256,1266,10,5,1,1,Rain,52,43
T336,Passenger,543,562,19,2,2,1,Clear,31,23
T337,Express,411,421,10,4,1,0,Rain,21,21
T338,Express,1313,1319,6,2,3,0,Clear,11,3
T339,Express,990,995,5,2,1,0,Clear,31,14
T340,Freight,389,413,24,4,1,0,Clear,27,13
T341,Freight,136,157,21,4,2,0,Fog,12,19
T342,Passenger,400,419,19,2,1,0,Clear,26,12
T343,Passenger,905,921,16,5,1,0,Fog,36,24
T344,Express,978,985,7,4,1,0,Clear,36,21
T345,Freight,539,567,28,3,3,1,Clear,13,11
T346,Passenger,209,223,14,5,3,0,Rain,8,8
T347,Passenger,951,966,15,1,1,0,Rain,44,29
T348,Passenger,1051,1066,15,4,1,1,Rain,53,38
T349,Freight,1275,1305,30,3,1,0,Clear,53,21
T350,Freight,557,589,32,5,2,1,Clear,21,15
T351,Express,1161,1168,7,1,3,1,Clear,16,20
T352,Freight,1401,1426,25,1,3,0,Rain,46,25
T353,Express,174,184,10,1,2,0,Clear,6,6
T354,Express,11,18,7,5,1,0,Fog,46,32
T355,Passenger,775,785,10,1,1,0,Clear,3,1
T356,Passenger,470,489,19,4,2,1,Fog,54,48
T357,Freight,433,463,30,4,2,1,Clear,58,41
T358,Passenger,1417,1437,20,5,3,0,Clear,52,25
T359,Passenger,1006,1026,20,3,1,0,Clear,51,24
T360,Freight,488,521,33,2,2,1,Clear,4,4
T361,Passenger,458,475,17,1,2,1,Clear,33,28
T362,Express,597,607,10,2,2,1,Clear,12,13
T363,Express,1116,1124,8,5,3,1,Rain,16,19
T364,Freight,271,294,23,3,3,0,Fog,56,49
T365,Passenger,1042,1058,16,2,2,1,Clear,43,26
T366,Passenger,244,255,11,2,3,0,Clear,41,24
T367,Passenger,494,504,10,3,3,1,Rain,19,26
T368,Freight,1179,1208,29,3,1,1,Clear,59,44
T369,Freight,455,490,35,3,2,1,Clear,56,45
T370,Passenger,979,992,13,5,2,0,Fog,48,35
T371,Express,1040,1046,6,5,1,1,Clear,26,15
T372,Express,1427,1435,8,2,3,0,Clear,40,22
T373,Express,1424,1434,10,2,1,0,Clear,3,2
T374,Passenger,587,606,19,3,3,1,Clear,6,19
T375,Freight,551,575,24,5,2,1,Rain,41,35
T376,Express,1170,1180,10,4,2,1,Clear,3,11
T377,Freight,420,440,20,3,3,1,Rain,39,39
T378,Passenger,289,307,18,1,3,0,Clear,51,27
T379,Freight,862,902,40,1,1,0,Clear,59,33
T380,Express,1108,1117,9,4,3,1,Fog,21,30
T381,Passenger,419,437,18,5,1,0,Clear,49,27
T382,Express,1405,1412,7,4,3,0,Clear,21,12
T383,Passenger,752,772,20,2,2,0,Clear,33,18
T384,Passenger,784,797,13,4,3,0,Rain,20,14
T385,Passenger,1214,1232,18,3,1,1,Fog,23,33
T386,Express,508,518,10,1,1,1,Clear,40,33
T387,Express,261,269,8,4,1,0,Fog,48,39
T388,Passenger,863,876,13,2,1,0,Clear,51,19
T389,Express,825,830,5,2,1,0,Clear,23,17
T390,Passenger,1191,1203,12,5,1,1,Clear,15,17
T391,Express,1263,1273,10,3,3,0,Clear,58,25
T392,Freight,882,906,24,3,2,0,Rain,18,12
T393,Express,1147,1152,5,1,2,1,Clear,4,19
T394,Passenger,845,859,14,3,1,0,Clear,47,23
T395,Passenger,196,216,20,2,2,0,Clear,3,5
T396,Passenger,214,226,12,5,1,0,Clear,9,7
T397,Freight,217,246,29,1,2,0,Fog,4,21
T398,Express,1227,1234,7,3,2,1,Clear,34,19
T399,Express,585,595,10,2,3,1,Clear,26,22
T400,Passenger,402,415,13,3,3,0,Clear,52,23
T401,Passenger,1157,1177,20,2,1,1,Rain,47,41
T402,Express,1088,1095,7,2,1,1,Clear,14,22
T403,Passenger,559,573,14,3,2,1,Rain,29,24
T404,Express,1187,1194,7,1,2,1,Clear,44,35
T405,Passenger,261,276,15,1,2,0,Clear,53,27
T406,Freight,366,400,34,4,1,0,Clear,26,11
T407,Freight,859,895,36,3,1,0,Rain,49,35
T408,Express,1070,1075,5,1,2,1,Clear,47,31
T409,Express,60,66,6,3,2,0,Rain,10,12
T410,Freight,318,350,32,3,2,0,Clear,54,28
T411,Freight,690,723,33,2,1,0,Fog,5,25
T412,Freight,548,576,28,2,3,1,Clear,60,42
T413,Express,1211,1221,10,2,2,1,Rain,36,30
T414,Passenger,1208,1221,13,5,3,1,Clear,3,9
T415,Passenger,973,988,15,2,1,0,Clear,37,20
T416,Freight,620,654,34,4,3,0,Clear,4,0
T417,Express,282,288,6,1,1,0,Rain,57,34
T418,Freight,1412,1435,23,2,1,0,Clear,38,22
T419,Express,828,833,5,3,1,0,Clear,21,11
T420,Freight,470,505,35,3,2,1,Clear,21,26
T421,Express,652,662,10,4,3,0,Clear,44,23
T422,Passenger,619,630,11,1,2,0,Clear,42,22
T423,Freight,633,662,29,4,3,0,Clear,8,0
T424,Express,757,764,7,4,3,0,Clear,46,24
T425,Passenger,18,30,12,2,3,0,Rain,28,23
T426,Passenger,238,248,10,5,1,0,Clear,23,10
T427,Passenger,1292,1306,14,2,1,0,Rain,57,32
T428,Passenger,250,262,12,5,1,0,Clear,25,12
T429,Passenger,1096,1113,17,1,1,1,Rain,15,18
T430,Passenger,1436,1440,12,3,2,0,Clear,14,4
T431,Express,941,951,10,1,2,0,Fog,47,33
T432,Passenger,291,304,13,1,1,0,Clear,1,3
T433,Passenger,220,240,20,2,1,0,Clear,2,3
T434,Passenger,643,663,20,4,3,0,Rain,42,32
T435,Freight,1279,1315,36,1,3,0,Rain,60,36
T436,Passenger,806,825,19,4,1,0,Clear,18,13
T437,Express,1288,1296,8,5,2,0,Fog,22,25
T438,Passenger,937,956,19,5,1,0,Rain,15,15
T439,Express,954,960,6,4,2,0,Clear,14,3
T440,Passenger,790,801,11,1,2,0,Rain,46,30
T441,Passenger,60,70,10,5,1,0,Rain,12,14
T442,Passenger,886,901,15,4,2,0,Rain,11,12
T443,Express,574,584,10,5,1,1,Fog,14,34
T444,Passenger,365,385,20,5,3,0,Fog,37,30
T445,Passenger,1205,1220,15,3,3,1,Fog,26,38
T446,Express,1011,1018,7,3,1,0,Rain,10,13
T447,Express,165,175,10,2,1,0,Rain,31,28
T448,Freight,137,175,38,1,1,0,Rain,18,19
T449,Passenger,938,956,18,4,3,0,Fog,10,20
T450,Passenger,779,790,11,4,2,0,Rain,19,23
T451,Passenger,287,307,20,5,2,0,Clear,53,24
T452,Passenger,856,874,18,2,2,0,Clear,6,3
T453,Passenger,615,630,15,2,3,0,Clear,45,27
T454,Freight,1141,1180,39,3,2,1,Clear,12,14
T455,Passenger,741,752,11,4,2,0,Clear,7,8
T456,Express,985,995,10,1,3,0,Fog,42,39
T457,Freight,943,983,40,1,3,0,Clear,36,20
T458,Passenger,1230,1244,14,4,3,1,Clear,11,15
T459,Passenger,809,821,12,3,2,0,Clear,43,20
T460,Express,905,913,8,5,3,0,Fog,56,40
T461,Passenger,55,71,16,3,2,0,Rain,28,22
T462,Express,636,645,9,4,1,0,Clear,3,0
T463,Express,382,392,10,2,3,0,Clear,27,18
T464,Express,1378,1386,8,4,2,0,Fog,0,15
T465,Freight,105,145,40,2,1,0,Clear,24,15
T466,Freight,1294,1328,34,5,1,0,Rain,39,29
T467,Express,1105,1114,9,1,3,1,Clear,37,23
T468,Passenger,911,927,16,4,3,0,Rain,39,29
T469,Freight,1413,1440,38,5,1,0,Clear,13,7
T470,Express,1210,1220,10,4,1,1,Clear,27,15
T471,Express,737,747,10,5,2,0,Fog,7,25
T472,Express,698,706,8,1,3,0,Rain,4,10
T473,Passenger,286,300,14,2,3,0,Clear,3,3
T474,Passenger,931,941,10,1,3,0,Clear,23,15
T475,Express,108,118,10,3,2,0,Rain,12,17
T476,Passenger,757,768,11,1,2,0,Fog,31,29
T477,Express,605,614,9,1,3,0,Rain,8,10
T478,Passenger,925,935,10,1,1,0,Rain,0,8
T479,Passenger,1288,1298,10,5,2,0,Fog,7,19
T480,Freight,882,912,30,3,3,0,Rain,31,18
T481,Passenger,1430,1440,17,2,2,0,Clear,50,24
T482,Passenger,855,865,10,5,3,0,Clear,39,18
T483,Passenger,272,287,15,3,2,0,Clear,37,18
T484,Express,176,183,7,4,2,0,Clear,57,36
T485,Passenger,1270,1282,12,2,3,0,Clear,55,27
T486,Freight,471,506,35,2,2,1,Clear,8,16
T487,Passenger,471,487,16,5,1,1,Fog,2,38
T488,Passenger,1383,1402,19,3,3,0,Clear,2,0
T489,Freight,1136,1170,34,3,1,1,Rain,25,28
T490,Passenger,128,143,15,1,2,0,Clear,57,30
T491,Passenger,627,642,15,5,2,0,Clear,51,26
T492,Express,974,984,10,1,1,0,Clear,57,28
T493,Express,874,882,8,4,3,0,Fog,27,31
T494,Passenger,137,155,18,4,1,0,Clear,10,5
T495,Express,310,319,9,3,1,0,Clear,4,2
T496,Passenger,818,838,20,4,3,0,Clear,58,29
T497,Express,892,902,10,4,2,0,Rain,38,23
T498,Express,856,864,8,1,3,0,Clear,36,16
